"c,r",0.5887500000000001;0.5898437500000001,1.3674999999999997;1.3699999999999999,2.7343750000001956e-06,0.001,0,2
"c,r",0.5778125000000001;0.5789062500000001,1.45;1.4525000000000001,2.7343750000001956e-06,0.001,0,2
"c,r",0.5789062500000001;0.5800000000000001,1.45;1.4525000000000001,2.7343750000001956e-06,0.001,1,2
"c,r",0.57234375;0.5734375,1.45;1.4525000000000001,2.7343750000001956e-06,0.001,1,2
"c,r",0.575625;0.5767187500000001,1.4274999999999998;1.43,2.7343750000001956e-06,0.001,2,2
"c,r",0.5898437500000001;0.5909375000000001,1.3674999999999997;1.3699999999999999,2.7343750000001956e-06,0.001,0,2
"c,r",0.5931250000000001;0.5942187500000001,1.3699999999999999;1.3725,2.7343750000001956e-06,0.001,0,2
"c,r",0.5789062500000001;0.5800000000000001,1.4674999999999998;1.47,2.7343750000001956e-06,0.001,1,2
"c,r",0.5865625000000001;0.5876562500000001,1.3474999999999997;1.3499999999999999,2.7343750000001956e-06,0.001,0,2
"c,r",0.57453125;0.575625,1.43;1.4325,2.7343750000001956e-06,0.001,2,2
"c,r",0.55484375;0.5559375,1.45;1.4525000000000001,2.7343750000001956e-06,0.001,2,2
"c,r",0.57015625;0.57125,1.49;1.4925000000000002,2.7343750000001956e-06,0.001,2,2
"c,r",0.5690625;0.57015625,1.49;1.4925000000000002,2.7343750000001956e-06,0.001,2,2
"c,r",0.5767187500000001;0.5778125000000001,1.4274999999999998;1.43,2.7343750000001956e-06,0.001,0,2
"c,r",0.5887500000000001;0.5898437500000001,1.3699999999999999;1.3725,2.7343750000001956e-06,0.001,1,2
"c,r",0.6303125;0.6314062500000001,1.18;1.1825,2.7343750000001956e-06,0.001,0,2
"c,r",0.56359375;0.5646875,1.47;1.4725000000000001,2.7343750000001956e-06,0.001,2,2
"c,r",0.5734375;0.57453125,1.4274999999999998;1.43,2.7343750000001956e-06,0.001,0,2
"c,r",0.5909375000000001;0.5920312500000001,1.3699999999999999;1.3725,2.7343750000001956e-06,0.001,0,2
"c,r",0.5778125000000001;0.5789062500000001,1.4674999999999998;1.47,2.7343750000001956e-06,0.001,2,2
"c,r",0.5625;0.56359375,1.4674999999999998;1.47,2.7343750000001956e-06,0.001,2,2
"c,r",0.5734375;0.57453125,1.45;1.4525000000000001,2.7343750000001956e-06,0.001,1,2
"c,r",0.5920312500000001;0.5931250000000001,1.3699999999999999;1.3725,2.7343750000001956e-06,0.001,1,2
"c,r",0.5778125000000001;0.5789062500000001,1.4474999999999998;1.45,2.7343750000001956e-06,0.001,2,2
"c,r",0.5942187500000001;0.5953125000000001,1.3699999999999999;1.3725,2.7343750000001956e-06,0.001,1,2
"c,r",0.59640625;0.5975,1.3674999999999997;1.3699999999999999,2.7343750000001956e-06,0.001,0,2
"c,r",0.57453125;0.575625,1.4274999999999998;1.43,2.7343750000001956e-06,0.001,1,2
"c,r",0.5767187500000001;0.5778125000000001,1.43;1.4325,2.7343750000001956e-06,0.001,2,2
"c,r",0.5909375000000001;0.5920312500000001,1.3674999999999997;1.3699999999999999,2.7343750000001956e-06,0.001,0,2
"c,r",0.5920312500000001;0.5931250000000001,1.3674999999999997;1.3699999999999999,2.7343750000001956e-06,0.001,0,2
"c,r",0.57125;0.57234375,1.45;1.4525000000000001,2.7343750000001956e-06,0.001,0,2
"c,r",0.61609375;0.6171875,1.2499999999999998;1.2525,2.7343750000001956e-06,0.001,2,2
"c,r",0.57234375;0.5734375,1.43;1.4325,2.7343750000001956e-06,0.001,1,2
"c,r",0.56578125;0.566875,1.47;1.4725000000000001,2.7343750000001956e-06,0.001,2,2
"c,r",0.59640625;0.5975,1.3699999999999999;1.3725,2.7343750000001956e-06,0.001,0,2
"c,r",0.566875;0.56796875,1.47;1.4725000000000001,2.7343750000001956e-06,0.001,2,2
"c,r",0.575625;0.5767187500000001,1.43;1.4325,2.7343750000001956e-06,0.001,1,2
"c,r",0.56359375;0.5646875,1.4674999999999998;1.47,2.7343750000001956e-06,0.001,2,2
"c,r",0.575625;0.5767187500000001,1.45;1.4525000000000001,2.7343750000001956e-06,0.001,1,2
"c,r",0.6171875;0.61828125,1.2499999999999998;1.2525,2.7343750000001956e-06,0.001,0,2
"c,r",0.5734375;0.57453125,1.47;1.4725000000000001,2.7343750000001956e-06,0.001,2,2
"c,r",0.61828125;0.619375,1.2499999999999998;1.2525,2.7343750000001956e-06,0.001,1,2
"c,r",0.57125;0.57234375,1.4274999999999998;1.43,2.7343750000001956e-06,0.001,2,2
"c,r",0.5646875;0.56578125,1.47;1.4725000000000001,2.7343750000001956e-06,0.001,2,2
"c,r",0.5843750000000001;0.5854687500000001,1.3474999999999997;1.3499999999999999,2.7343750000001956e-06,0.001,1,2
"c,r",0.6314062500000001;0.6325000000000001,1.18;1.1825,2.7343750000001956e-06,0.001,0,2
"c,r",0.5898437500000001;0.5909375000000001,1.3699999999999999;1.3725,2.7343750000001956e-06,0.001,0,2
"c,r",0.6725000000000001;0.675,0.75;0.7525,6.2499999999997335e-06,0.001,1,1
"c,r",1.8900000000000001;1.8925,0.3575;0.36,6.249999999999872e-06,0.001,0,2
"c,r",1.8925;1.895,0.3575;0.36,6.249999999999872e-06,0.001,1,2
"c,r",0.62;0.65,0.45;0.46,0.0003000000000000005,0.0010000000000000009,0,1
"c,r",0.62;0.65,0.4;0.41000000000000003,0.0003000000000000005,0.0010000000000000009,0,1
